CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
 58-85-5, BIOTIN," &diams; BIOTIN<br />&diams; BIOTIN, D-<br />&diams; COENZYME R<br />&diams; TETRAHYDRO-2-OXOTHIENO(3,4-D)IMIDAZOLINE-4-VALERIC ACID, CIS-<br />&diams; VITAMIN H<br />&diams; BIOTIN, (+)-<br />&diams; 1H-THIENO(3,4-D)IMIDAZOLE-4-PENTANOIC ACID, HEXAHYDRO-2-OXO-, (3AS-(3AALPHA,4BETA,6AALPHA))-<br />&diams; HEXAHYDRO-2-OXO-1H-THIENO(3,4-D)IMIDAZOLE-4-PENTANOIC ACID, (3AS-(3AALPHA,4BETA,6AALPHA))-"," NUTRIENT SUPPLEMENT,<br /> SEQUESTRANT",,,,,,,182.8159,,,,,,,,,,,,,,,,,,,,," 101.9 ,  107.100",,,,,
 1124-11-4," 2,3,5,6-TETRAMETHYLPYRAZINE"," &diams; TETRAMETHYLPYRAZINE<br />&diams; 2,3,5,6-TETRAMETHYLPYRAZINE<br />&diams; PYRAZINE, TETRAMETHYL-<br />&diams; BS FACTOR<br />&diams; TETRAPYRAZINE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3237,4,25.0,,780
 404-86-4, N-(4-HYDROXY-3-METHOXYBENZYL)-8-METHYL-6-NONENAMIDE," &diams; CAPSAICIN<br />&diams; N-(4-HYDROXY-3-METHOXYBENZYL)-8-METHYL-6-NONENAMIDE<br />&diams; ISODECENOIC ACID VANILLYLAMIDE<br />&diams; 8-METHYL-N-VANILLYL-6-NONENAMIDE, TRANS-<br />&diams; N-((4-HYDROXY-3-METHOXYPHENYL)METHYL)-8-METHYL-6-NONENAMIDE, (E)-<br />&diams; N-(4-HYDROXY-3-METHOXYBENZYL)-8-METHYLNON-TRANS-6-ENAMIDE<br />&diams; N-(4-HYDROXY-3-METHOXYBENZYL)-8-METHYLNONEN-6-AMIDE<br />&diams; 6-NONENAMIDE, N-((4-HYDROXY-3-METHOXYPHENYL)METHYL)-8-METHYL-, (E)-<br />&diams; 6-NONENAMIDE, 8-METHYL-N-VANILLYL-, (E)-<br />&diams; 8-METHYL-N-VANILLYL-6-NONENAMIDE, (E)-<br />&diams; capsaicine", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3404,7,,,
 2257-09-2, PHENETHYL ISOTHIOCYANATE," &diams; PHENETHYL ISOTHIOCYANATE<br />&diams; BENZENE, (2-ISOTHIOCYANATOETHYL)-<br />&diams; (2-ISOTHIOCYANATOETHYL)BENZENE<br />&diams; BETA-PHENETHYL ISOTHIOCYANATE<br />&diams; ISOTHIOCYANIC ACID, PHENETHYL ESTER<br />&diams; PHENYLETHYL MUSTARD OIL<br />&diams; 2-PHENYLETHYL ISOTHIOCYANATE<br />&diams; 1-ISOTHIOCYANATO-2-PHENYLETHANE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4014,20,,,1563
 623-05-2, 4-HYDROXYBENZYL ALCOHOL," &diams; 4-HYDROXYBENZYL ALCOHOL<br />&diams; BENZENEMETHANOL, 4-HYDROXY-<br />&diams; BENZYL ALCOHOL, P-HYDROXY-<br />&diams; (4-HYDROXYPHENYL)METHANOL<br />&diams; (HYDROXYMETHYL)PHENOL, P-<br />&diams; HYDROXYBENZYL ALCOHOL, P-<br />&diams; METHYLOLPHENOL, P-<br />&diams; 4-HYDROXYBENZENEMETHANOL", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3987,20,,,955
 562-74-3, 4-CARVOMENTHENOL," &diams; 4-CARVOMENTHENOL<br />&diams; TERPINEN-4-OL<br />&diams; 4-TERPINENOL, DL-<br />&diams; P-MENTH-1-EN-4-OL<br />&diams; 1-P-MENTHEN-4-OL<br />&diams; 1-MENTHENE-4-OL<br />&diams; 3-CYCLOHEXEN-1-OL, 4-METHYL-1-(1-METHYLETHYL)-<br />&diams; 4-METHYL-1-(1-METHYLETHYL)-3-CYCLOHEXEN-1-OL<br />&diams; 4-METHYL-1-ISOPROPYL-3-CYCLOHEXEN-1-OL<br />&diams; 1-METHYL-4-ISOPROPYL-1-CYCLOHEXEN-4-OL<br />&diams; 1-TERPINEN-4-OL<br />&diams; 4-TERPINENOL, (+-)-<br />&diams; 1-(1-Methylethyl)-4-methyl-3-cyclohexen-1-ol"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2248,3,25.0,,439
 541-15-1, L-CARNITINE," &diams; CARNITINE<br />&diams; 1-PROPANAMINIUM, 3-CARBOXY-2-HYDROXY-N,N,N-TRIMETHYL-, INNER SALT, (2R)-<br />&diams; CARNITINE, (-)-<br />&diams; AMMONIUM, (3-CARBOXY-2-HYDROXYPROPYL)TRIMETHYL-, HYDROXIDE, INNER SALT, L-<br />&diams; VITAMIN BT<br />&diams; LEVOCARNITINE", NUTRIENT SUPPLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 119-65-3, ISOQUINOLINE," &diams; ISOQUINOLINE<br />&diams; 2-BENZAZINE<br />&diams; BENZO(C)PYRIDINE<br />&diams; 3,4-BENZOPYRIDINE<br />&diams; 2-AZANAPHTHALENE<br />&diams; BENZOPYRIDINE<br />&diams; QUINOLINE, BETA-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2978,3,,,1303
 104-54-1, CINNAMYL ALCOHOL," &diams; CINNAMYL ALCOHOL<br />&diams; 3-PHENYL-2-PROPEN-1-OL<br />&diams; CINNAMIC ALCOHOL<br />&diams; GAMMA-PHENYLALLYL ALCOHOL<br />&diams; STYRYL CARBINOL<br />&diams; ZIMTALCOHOL<br />&diams; 2-PROPEN-1-OL, 3-PHENYL-<br />&diams; 1-PHENYLPROP-1-EN-3-OL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2294,3,,,647
 759-05-7, 3-METHYL-2-OXOBUTANOIC ACID," &diams; 2-OXOISOVALERIC ACID<br />&diams; 3-METHYL-2-OXOBUTYRIC ACID<br />&diams; 3-METHYL-2-OXOBUTANOIC ACID<br />&diams; 2-OXO-3-METHYLBUTYRIC ACID<br />&diams; BUTANOIC ACID, 3-METHYL-2-OXO-<br />&diams; 2-OXOISOPENTANOIC ACID<br />&diams; ALPHA-KETOISOVALERIC ACID<br />&diams; BUTYRIC ACID, 3-METHYL-2-OXO-<br />&diams; DIMETHYLPYRUVIC ACID<br />&diams; ISOPROPYLGLYCOLIC ACID<br />&diams; KETOVALINE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3869,18,25.0,,631
 536-78-7, 3-ETHYLPYRIDINE," &diams; 3-ETHYLPYRIDINE<br />&diams; BETA-ETHYLPYRIDINE<br />&diams; LUTIDINE, BETA-<br />&diams; PYRIDINE, 3-ETHYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3394,7,25.0,,1315
 98-54-4," 4-(1,1-DIMETHYLETHYL)PHENOL"," &diams; 4-TERT-BUTYLPHENOL<br />&diams; BUTYLPHENOL, P-TERT-<br />&diams; 4-(1,1-DIMETHYLETHYL)PHENOL<br />&diams; BUTYLPHEN<br />&diams; TERT-BUTYLPHENOL, P-<br />&diams; PHENOL, 4-(1,1-DIMETHYLETHYL)-<br />&diams; PHENOL, P-TERT-BUTYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,175.3,177.158,177.1585,177.241,,,,,,,,,,,,,,,,,,,3918,19,,,733
 110-80-5, ETHYLENE GLYCOL MONOETHYL ETHER," &diams; ETHYLENE GLYCOL MONOETHYL ETHER<br />&diams; ETHANOL, 2-ETHOXY-<br />&diams; 2-ETHOXYETHANOL"," FORMULATION AID,<br /> SOLVENT OR VEHICLE",73.1,,,,,,175.105,177.26,,,,,,,,,,,,,,,,,,,,,,,,,
 97-96-1, 2-ETHYLBUTYRALDEHYDE," &diams; 2-ETHYLBUTYRALDEHYDE<br />&diams; ALPHA-ETHYLBUTYRALDEHYDE<br />&diams; DIETHYLACETALDEHYDE<br />&diams; 2-ETHYLBUTANAL<br />&diams; BUTANAL, 2-ETHYL-<br />&diams; BUTYRALDEHYDE, 2-ETHYL-<br />&diams; 2-ETHYLBUTYRIC ALDEHYDE<br />&diams; 3-FORMYLPENTANE<br />&diams; ALPHA-ETHYLBUTANAL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2426,3,25.0,,256
 110-19-0, ISOBUTYL ACETATE," &diams; ISOBUTYL ACETATE<br />&diams; ISOBUTYL ETHANOATE<br />&diams; 2-METHYL-1-PROPYL ACETATE<br />&diams; ACETIC ACID, 2-METHYLPROPYL ESTER<br />&diams; ACETIC ACID, ISOBUTYL ESTER<br />&diams; BETA-METHYLPROPYL ETHANOATE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2175,3,,,137
 93-15-2, EUGENYL METHYL ETHER--NLFG," &diams; EUGENYL METHYL ETHER<br />&diams; 4-ALLYLVERATROLE<br />&diams; 1,2-DIMETHOXY-4-ALLYLBENZENE<br />&diams; 3,4-DIMETHOXYALLYLBENZENE<br />&diams; 1,2-DIMETHOXY-4-(2-PROPEN-1-YL)BENZENE<br />&diams; 4-ALLYL-1,2-DIMETHOXYBENZENE<br />&diams; O-METHYL EUGENOL<br />&diams; METHYL EUGENYL ETHER<br />&diams; BENZENE, 1,2-DIMETHOXY-4-(2-PROPENYL)-<br />&diams; 1,2-DIMETHOXY-4-(2-PROPENYL)BENZENE<br />&diams; BENZENE, 4-ALLYL-1,2-DIMETHOXY-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,, NLFG-2475," 3, 25",28.0," No longer FEMA GRAS (GRAS Pub. 28, 2018)",1790
 79-81-2, VITAMIN A PALMITATE," &diams; VITAMIN A PALMITATE<br />&diams; RETINOL, HEXADECANOATE<br />&diams; RETINOL, PALMITATE, ALL-TRANS-<br />&diams; RETINOL PALMITATE<br />&diams; RETINYL HEXADECANOATE"," COLOR OR COLORING ADJUNCT,<br /> NUTRIENT SUPPLEMENT",,,,,,,184.193,,,,,,,,,,,,,,,,,,,,,,,,,,
 103-50-4, DIBENZYL ETHER," &diams; BENZYL ETHER<br />&diams; BENZYL OXIDE<br />&diams; BENZENE, 1,1'-(OXYBIS(METHYLENE))BIS-<br />&diams; 1,1'-(OXYBIS(METHYLENE))BIS(BENZENE)"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2371,3,,,1256
 528-43-8, MAGNOLOL," &diams; MAGNOLOL<br />&diams; (1,1'-biphenyl)-2,2'-diol, 5,5'-di-2-propen-1-yl-<br />&diams; 5,5'-di-2-propen-1-yl-(1,1'-biphenyl)-2,2'-diol<br />&diams; (1,1'-biphenyl)-2,2'-diol, 5,5'-di-2-propenyl-<br />&diams; 5,5'-di-2-propenyl-(1,1'-biphenyl)-2,2'-diol<br />&diams; 2,2'-biphenyldiol, 5,5'-diallyl-<br />&diams; 5,5'-diallyl-2,2'-biphenyldiol<br />&diams; 2,2'-bichavicol<br />&diams; InChI=1S/C18H18O2/c1-3-5-13-7-9-17(19)15(11-13)16-12-14(6-4-2)8-10-18(16)20/h3-4,7-12,19-20H,1-2,5-6H2<br />&diams; InChIKey: VVOAZFWZEDHOOU-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4559,24,,,2023
 71-43-2, BENZENE," &diams; BENZENE<br />&diams; COAL NAPHTHA<br />&diams; BENZOL<br />&diams; BENZENE, UNREFINED<br />&diams; BENZENE, CRUDE<br />&diams; CYCLOHEXATRIENE<br />&diams; InChI=1/C6H6/c1-2-4-6-5-3-1/h1-6H<br />&diams; InChIKey: UHOVQNZJYSORNB-UHFFFAOYSA-N",,,,,,,,172.56,175.105,,,,,,,,,,,,,,,,,,,,,,,,,
 520-26-3, HESPERIDIN," &diams; HESPERIDIN<br />&diams; HESPERETIN 7-RHAMNOGLUCOSIDE<br />&diams; HESPERETIN 7-RUTINOSIDE<br />&diams; 4H-1-BENZOPYRAN-4-ONE, 7-((6-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-BETA-D-GLUCOPYRANOSYL)OXY)-2,3-DIHYDO-5-HYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-, (S)-<br />&diams; 7-((6-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-BETA-D-GLUCOPYRANOSYL)OXY)-2,3-DIHYDRO-5-HYDROXY-2-(3-HYDROXY-4-METHOXYPHENYL)-4H-1-BENZOPYRAN-4-ONE, (S)-", FLAVOR ENHANCER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 91-64-5, COUMARIN--PROHIBITED," &diams; COUMARIN<br />&diams; CUMARIN<br />&diams; 1,2-BENZOPYRONE<br />&diams; 2H-1-BENZOPYRAN-2-ONE<br />&diams; COUMARINIC ACID LACTONE, CIS-O-<br />&diams; COUMARINIC ANHYDRIDE<br />&diams; HYDROXYCINNAMIC ACID LACTONE, O-<br />&diams; 3-(2-HYDROXYPHENYL)-2-PROPENOIC DELTA-LACTONE<br />&diams; BENZO-ALPHA-PYRONE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,189.13,,,,,,,
 7782-99-2, SULFUROUS ACID," &diams; SULFUROUS ACID<br />&diams; SULFUROUS ACID, ANHYDROUS<br />&diams; SULFUR DIOXIDE SOLUTION",,73.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 13925-00-3, 2-ETHYLPYRAZINE," &diams; ETHYLPYRAZINE<br />&diams; 2-ETHYLPYRAZINE<br />&diams; 2-ETHYL-1,4-DIAZINE<br />&diams; PYRAZINE, ETHYL-"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3281,5,,,762
 79-09-4, PROPIONIC ACID," &diams; PROPIONIC ACID<br />&diams; ETHYLFORMIC ACID<br />&diams; METHYLACETIC ACID<br />&diams; C3 ACID<br />&diams; PROPANOIC ACID<br />&diams; InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)<br />&diams; InChIKey: XBDQKXXYIPTUBI-UHFFFAOYSA-N"," ANTIMICROBIAL AGENT,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT",,,,,,,178.101,184.1081,,,,,,,,,,,,,,,,,,,,,2924,3,25.0,,84
 503-74-2, ISOVALERIC ACID," &diams; ISOVALERIC ACID<br />&diams; ISOPROPYLACETIC ACID<br />&diams; 3-METHYLBUTANOIC ACID<br />&diams; ISOPENTANOIC ACID<br />&diams; DELPHINIC ACID<br />&diams; BETA-METHYLBUTYRIC ACID<br />&diams; ISOVALERIANIC ACID<br />&diams; ISOBUTYLFORMIC ACID<br />&diams; 3-METHYLBUTYRIC ACID<br />&diams; BUTANOIC ACID, 3-METHYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3102,3,,,259
 120-14-9, VERATRALDEHYDE," &diams; VERATRALDEHYDE<br />&diams; 3,4-DIMETHOXYBENZALDEHYDE<br />&diams; 3,4-DIMETHOXYBENZENECARBONAL<br />&diams; PROTOCATECHUALDEHYDE DIMETHYL ETHER<br />&diams; BENZALDEHYDE, 3,4-DIMETHOXY-<br />&diams; METHYLVANILLIN<br />&diams; VANILLIN METHYL ETHER<br />&diams; VERATRIC ALDEHYDE<br />&diams; 4-O-METHYLVANILLIN<br />&diams; PROTOCATECHUIC ALDEHYDE DIMETHYL ETHER<br />&diams; VERATRAL<br />&diams; VERATRUM ALDEHYDE<br />&diams; VERATRYL ALDEHYDE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3109,3,25.0,,877
 122-84-9, 1-(P-METHOXYPHENYL)-2-PROPANONE," &diams; 1-(P-METHOXYPHENYL)-2-PROPANONE<br />&diams; ANISYL METHYL KETONE<br />&diams; ANISIC KETONE<br />&diams; (P-METHOXYPHENYL)-2-PROPANONE<br />&diams; ANISKETONE<br />&diams; METHOXYPHENYLACETONE, P-<br />&diams; METHOXYBENZYL METHYL KETONE, P-<br />&diams; 2-PROPANONE, 1-(4-METHOXYPHENYL)-<br />&diams; 1-(4-METHOXYPHENYL)-2-PROPANONE<br />&diams; 2-PROPANONE, 1-(P-METHOXYPHENYL)-<br />&diams; 1-(P-ANISYL)-2-PROPANONE<br />&diams; 4-METHOXYPHENYLACETONE<br />&diams; 4-METHOXYBENZYL METHYL KETONE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2674,3,,,813
 499-75-2, CARVACROL," &diams; CARVACROL<br />&diams; 2-HYDROXY-P-CYMENE<br />&diams; ISOTHYMOL<br />&diams; 1-METHYL-2-HYDROXY-4-ISOPROPYLBENZENE<br />&diams; 2-METHYL-5-ISOPROPYLPHENOL<br />&diams; 2-P-CYMENOL<br />&diams; 5-ISOPROPYL-O-CRESOL<br />&diams; 5-ISOPROPYL-2-METHYLPHENOL<br />&diams; CYMOPHENOL<br />&diams; CYMENE-2-OL, P-<br />&diams; PHENOL, 2-METHYL-5-(1-METHYLETHYL)-<br />&diams; 2-METHYL-5-(1-METHYLETHYL)PHENOL<br />&diams; 6-METHYL-3-ISOPROPYLPHENOL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2245,3,,,710
 124-13-0, OCTANAL," &diams; OCTANAL<br />&diams; ALDEHYDE C-8<br />&diams; CAPRYLIC ALDEHYDE<br />&diams; OCTYL ALDEHYDE, N-<br />&diams; 1-OCTANAL<br />&diams; CAPRYLALDEHYDE<br />&diams; NSC-1508<br />&diams; OCTANALDEHYDE", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2797,3,,,98
 106-25-2, NEROL," &diams; NEROL<br />&diams; NERYL ALCOHOL<br />&diams; 3,7-DIMETHYL-2,6-OCTADIEN-1-OL, CIS-<br />&diams; 2,6-OCTADIEN-1-OL, 3,7-DIMETHYL-, (Z)-<br />&diams; 3,7-DIMETHYL-2,6-OCTADIEN-1-OL, (Z)-<br />&diams; GERANIOL, CIS-<br />&diams; GERANIOL, (Z)-<br />&diams; NEROL, BETA-<br />&diams; NSC-46105<br />&diams; BETA-NEROL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2770,3,,,1224
 99-93-4, 4-HYDROXYACETOPHENONE," &diams; 4'-HYDROXYACETOPHENONE<br />&diams; ACETYLPHENOL, P-<br />&diams; HYDROXYACETOPHENONE, P-<br />&diams; PICEOL<br />&diams; 1-(4-HYDROXYPHENYL)ETHANONE<br />&diams; ethanone, 1-(4-hydroxyphenyl)-<br />&diams; acetophenone, 4'-hydroxy-<br />&diams; acetophenone, p-hydroxy-<br />&diams; 4-hydroxyacetophenone<br />&diams; InChI=1S/C8H8O2/c1-6(9)7-2-4-8(10)5-3-7/h2-5,10H,1H3<br />&diams; InChIKey: TXFPEBPIARQUIG-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330,23,,,2040
 1504-74-1, O-METHOXYCINNAMALDEHYDE," &diams; METHOXYCINNAMALDEHYDE, O-<br />&diams; CINNAMALDEHYDE, O-METHOXY-<br />&diams; METHOXYCINNAMIC ALDEHYDE, O-<br />&diams; O-METHOXYPHENYL ACROLEIN, BETA-<br />&diams; 3-O-METHOXYPHENYL-2-PROPENAL<br />&diams; 2-PROPENAL, 3-(2-METHOXYPHENYL)-<br />&diams; 3-(2-METHOXYPHENYL)-2-PROPENAL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,3181,4,25.0,,688
 110-89-4, PIPERIDINE," &diams; PIPERIDINE<br />&diams; HEXAHYDROPYRIDINE<br />&diams; HEXAZANE<br />&diams; PENTAMETHYLENIMINE<br />&diams; AZACYCLOHEXANE<br />&diams; CYCLOPENTIMINE<br />&diams; PERHYDROPYRIDINE<br />&diams; InChI=1S/C5H11N/c1-2-4-6-5-3-1/h6H,1-5H2<br />&diams; InChIKey: NQRYJNQNLNOLGT-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2908,3,,,1607
 122-03-2, CUMINALDEHYDE," &diams; CUMINALDEHYDE<br />&diams; ISOPROPYLBENZALDEHYDE, P-<br />&diams; 4-ISOPROPYLBENZENECARBOXYLATE<br />&diams; CUMINAL<br />&diams; CUMINIC ALDEHYDE<br />&diams; CUMALDEHYDE<br />&diams; 4-(1-METHYLETHYL)BENZALDEHYDE<br />&diams; BENZALDEHYDE, 4-(1-METHYLETHYL)-<br />&diams; BENZALDEHYDE, P-ISOPROPYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2341,3,,,868
 75-31-0, ISOPROPYLAMINE, &diams; ISOPROPYLAMINE<br />&diams; 2-AMINOPROPANE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4238,22,,,1581
 2628-17-3, P-VINYLPHENOL," &diams; 4-VINYLPHENOL<br />&diams; VINYLPHENOL, P-<br />&diams; 4-ETHENYLPHENOL<br />&diams; 4-HYDROXYSTYRENE<br />&diams; PHENOL, 4-ETHENYL-<br />&diams; PHENOL, P-VINYL-<br />&diams; HYDROXYSTYRENE, P-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3739,13,,,711
 50-81-7, ASCORBIC ACID," &diams; ASCORBIC ACID<br />&diams; VITAMIN C<br />&diams; ASCORBIC ACID, L-<br />&diams; CEVITAMIC ACID<br />&diams; L-ASCORBIC ACID<br />&diams; XYLOASCORBIC ACID, L-<br />&diams; HEX-2-ENONIC ACID GAMMA-LACTONE, L-THREO-"," ANTIMICROBIAL AGENT,<br /> ANTIOXIDANT,<br /> COLOR OR COLORING ADJUNCT,<br /> DOUGH STRENGTHENER,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> SEQUESTRANT,<br /> STABILIZER OR THICKENER",,,,,,,172.28,182.3013,182.8013,,,,,,,,,,,,,,,,,,," 101.14 ,  101.9 ,  107.100 ,  137.105 ,  137.200 ,  145.110 ,  145.115 ,  145.135 ,  145.170 ,  146.185 ,  146.187  ,  155.200 ,  155.201 ,  161.175",2109,3,,,
 80-59-1, TRANS-2-METHYL-2-BUTENOIC ACID," &diams; TIGLIC ACID<br />&diams; 2-METHYL-2-BUTENOIC ACID, TRANS-<br />&diams; 2-METHYLCROTONIC ACID, TRANS-<br />&diams; 2-METHYL-2-BUTENOIC ACID, (E)-<br />&diams; 2-BUTENOIC ACID, 2-METHYL-, (2E)-<br />&diams; CROTONIC ACID, 2-METHYL-, (E)-<br />&diams; CEVADIC ACID<br />&diams; ALPHA,BETA-DIMETHYLACRYLIC ACID, TRANS-<br />&diams; 2,3-DIMETHYLACRYLIC ACID, TRANS-<br />&diams; TIGLINIC ACID<br />&diams; 2,3-DIMETHYLACRYLIC ACID, (E)-<br />&diams; ALPHA-METHYLCROTONIC ACID, (E)-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3599,12,,,1205
 75-04-7, ETHYLAMINE, &diams; ETHYLAMINE<br />&diams; ETHANAMINE<br />&diams; MONOETHYLAMINE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4236,22,,,1579
 151-21-3, SODIUM LAURYL SULFATE," &diams; SODIUM LAURYL SULFATE<br />&diams; SODIUM LAURYL SULFATE 30%<br />&diams; SODIUM LAURYL SULFATE, DENTAL GRADE<br />&diams; SODIUM DODECYL SULFATE<br />&diams; SULFURIC ACID MONODODECYL ESTER SODIUM SALT<br />&diams; SODIUM MONODODECYL SULFATE<br />&diams; InChI=1S/C12H26O4S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-16-17(13,14)15<br />&diams; /h2-12H2,1H3,(H,13,14,15)<br />&diams; /q<br />&diams; +1/p-1<br />&diams; InChIKey: DBMJMQXJHONAFJ-UHFFFAOYSA-M"," EMULSIFIER OR EMULSIFIER SALT,<br /> SURFACE-ACTIVE AGENT",,,,,,,172.21,172.822,175.105,175.3,175.32,176.17,176.18,176.21,177.12,177.121,177.163,177.26,177.28,178.101,179.45,,,,,,,,4437,24,,,
 111-40-0, DIETHYLENETRIAMINE," &diams; DIETHYLENETRIAMINE<br />&diams; IMINO-BIS-ETHYLAMINE<br />&diams; 2,2'-DIAMINODIETHYLAMINE<br />&diams; 2,2'-IMINOBISETHYLAMINE<br />&diams; BIS(2-AMINOETHYL)AMINE<br />&diams; N-(2-AMINOETHYL)-1,2-ETHANEDIAMINE<br />&diams; 1,2-ETHANEDIAMINE, N-(2-AMINOETHYL)-<br />&diams; 1,5-DIAMINO-3-AZAPENTANE", PROCESSING AID,,,,,,,173.2,175.105,175.3,176.17,176.18,176.21,177.12,,,,,,,,,,,,,,,,,,,,
 107-02-8, ACROLEIN, &diams; ACROLEIN<br />&diams; ACRALDEHYDE<br />&diams; ACRYLIC ALDEHYDE<br />&diams; ALLYL ALDEHYDE<br />&diams; PROPENAL<br />&diams; 2-PROPENAL<br />&diams; ACRYLALDEHYDE<br />&diams; 2-PROPEN-1-ONE<br />&diams; PROP-2-ENAL, ANTIMICROBIAL AGENT,,,,,,,172.892,176.3,,,,,,,,,,,,,,,,,,,,,,,,,
